"asv","Genus","transform_a","transform_b","importance_a","importance_b","diff","abs_diff","comparison"
"2d9a9d6012e671d8135cb2df734d9edd","Gemmatimonas","clr_1","clr_0.5",0.00527220655258165,0.00368037348671752,0.00159183306586413,0.00159183306586413,"pc = 1 − pc = 0.5"
"dc9aa892ff2214c4219de36f009f5192","Candidatus Nitrosoarchaeum","clr_1","clr_0.5",0.00373054158916596,0.00362601458361005,0.000104527005555905,0.000104527005555905,"pc = 1 − pc = 0.5"
"b7a6de9f78e6c96910566ca3f2778318","Armatimonadaceae Family","clr_1","clr_0.5",0.00342483534100186,0.00266344726967544,0.000761388071326425,0.000761388071326425,"pc = 1 − pc = 0.5"
"ce7deedd0f541b5286425938fcd6e413","Oligoflexaceae Family","clr_1","clr_0.5",0.00295156627988451,0.00299542035197691,-4.38540720923974e-05,4.38540720923974e-05,"pc = 1 − pc = 0.5"
"9e36c8c025b5170a2b5af14dc13bf3bf","Eremiobacteria Class","clr_1","clr_0.5",0.00282706547971417,0.00270195322750143,0.000125112252212737,0.000125112252212737,"pc = 1 − pc = 0.5"
"6c561c59c84d61ce5f4036074028dbca","Bryobacter","clr_1","clr_0.5",0.00281467373215777,0.00303608157337211,-0.00022140784121434,0.00022140784121434,"pc = 1 − pc = 0.5"
"afc8be1bf12a273aee66a9cf23603a63","Acetobacteraceae Family","clr_1","clr_0.5",0.00280748313660368,0.00259510102542854,0.000212382111175135,0.000212382111175135,"pc = 1 − pc = 0.5"
"c4bfdac27a83e2361cd70c4f37cbeb51","Paludibaculum","clr_1","clr_0.5",0.0025896154045607,0.0029958661944584,-0.000406250789897701,0.000406250789897701,"pc = 1 − pc = 0.5"
"61c901297973162caaee28a638a3d9d9","Solirubrobacteraceae Family","clr_1","clr_0.5",0.00255238500547032,0.00129149001654455,0.00126089498892577,0.00126089498892577,"pc = 1 − pc = 0.5"
"29d0afa3094fe186f16549507e5d86f3","Haliscomenobacter","clr_1","clr_0.5",0.0025108514719462,0.00264836823995351,-0.000137516768007311,0.000137516768007311,"pc = 1 − pc = 0.5"
"6797a25a8dfdb4774d859b8844087411","Rhizobacter","clr_1","clr_0.5",0.00249551395257856,0.00249551395257856,0,0,"pc = 1 − pc = 0.5"
"7a2f122fddae43a0010e633c008bc09b","Blfdi19 Order","clr_1","clr_0.5",0.00246343349449487,0.00258543166421712,-0.000121998169722241,0.000121998169722241,"pc = 1 − pc = 0.5"
"6fa14f70b44f6de870d45c0e905c45fe","Fimbriiglobus","clr_1","clr_0.5",0.00245206786763457,0.00261580834000883,-0.000163740472374262,0.000163740472374262,"pc = 1 − pc = 0.5"
"de12a9a4b8be3995816194f3492ff412","Singulisphaera","clr_1","clr_0.5",0.00243197128949588,0.00257642238348172,-0.000144451093985834,0.000144451093985834,"pc = 1 − pc = 0.5"
"2a4e8c5c2d9ffd70f271583b796168df","Dolichospermum","clr_1","clr_0.5",0.00241208110696255,0.00259487656948129,-0.000182795462518745,0.000182795462518745,"pc = 1 − pc = 0.5"
"2e398b810872de4049aebe234dc5b5d7","Comamonadaceae Family","clr_1","clr_0.5",0.00239776553182019,0.00159523248649805,0.000802533045322141,0.000802533045322141,"pc = 1 − pc = 0.5"
"649f026cd615015b1c0f8e760d309122","Luteimonas","clr_1","clr_0.5",0.00237651703124888,0.0020867586543469,0.000289758376901984,0.000289758376901984,"pc = 1 − pc = 0.5"
"37c9c05391818c7a6ffa38262321f5fc","CL500-29 marine group","clr_1","clr_0.5",0.00237208850110507,0.00262081494112866,-0.000248726440023592,0.000248726440023592,"pc = 1 − pc = 0.5"
"cdc9eb301c1347f5753343884d1a5b41","mle1-27 Order","clr_1","clr_0.5",0.00233072519327482,0.00253614030764699,-0.000205415114372172,0.000205415114372172,"pc = 1 − pc = 0.5"
"66206d59214d8cc4ecb65a71e9350c9c","Phreatobacter","clr_1","clr_0.5",0.00231905154407329,0.00256820830131958,-0.000249156757246289,0.000249156757246289,"pc = 1 − pc = 0.5"
"1ba1c6fba5cf7d1a4c6e3caef9e4c813","TRA3-20 Family","clr_1","clr_0.5",0.00231536561767373,0.00256030553428675,-0.000244939916613024,0.000244939916613024,"pc = 1 − pc = 0.5"
"33e5681d81c11baedc5f46c7b394484c","Midichloriaceae Family","clr_1","clr_0.5",0.00228889908870445,0.00228889908870445,0,0,"pc = 1 − pc = 0.5"
"fb437033e226e6cda5fe9c3b74ef453f","Rhodovarius","clr_1","clr_0.5",0.00225823065835833,0.0021413238780895,0.000116906780268824,0.000116906780268824,"pc = 1 − pc = 0.5"
"179e2e4ad12d2a505f12bf7110a80cde","Sphingomonadaceae Family","clr_1","clr_0.5",0.0022376240626747,0.00227688759078492,-3.92635281102178e-05,3.92635281102178e-05,"pc = 1 − pc = 0.5"
"b44b7ef824cadcd24ea6fea45051a73e","Fimbriimonadaceae Family","clr_1","clr_0.5",0.00223708877387442,0.00218527228615597,5.1816487718453e-05,5.1816487718453e-05,"pc = 1 − pc = 0.5"
"9ed3e1edc621c9a94608480eb8b4351b","Pseudanabaena","clr_1","clr_0.5",0.00219987590366902,0.00219674596816331,3.12993550571385e-06,3.12993550571385e-06,"pc = 1 − pc = 0.5"
"9a7f96749fc3614a624e31996bd7b4d4","Vermiphilaceae Family","clr_1","clr_0.5",0.00215141463757085,0.00205972654220562,9.16880953652304e-05,9.16880953652304e-05,"pc = 1 − pc = 0.5"
"6815f1f2c2d38299f363940f8e312c3c","Deinococcaceae Family","clr_1","clr_0.5",0.0020936597956668,0.00290994884170493,-0.000816289046038129,0.000816289046038129,"pc = 1 − pc = 0.5"
"51a5955ebe58e2c36e26f6cfa32cbe22","Rhizobacter","clr_1","clr_0.5",0.00209318287811054,0.00220511812052183,-0.00011193524241129,0.00011193524241129,"pc = 1 − pc = 0.5"
"396cc69217c9a6fb253a45860cafee90","Fimbriiglobus","clr_1","clr_0.5",0.00209082821665129,0.00209082821665129,0,0,"pc = 1 − pc = 0.5"
"2bba1f8c49fb19b800398943a216a572","Bryobacter","clr_1","clr_0.5",0.0020714415269797,0.00222691102258206,-0.000155469495602357,0.000155469495602357,"pc = 1 − pc = 0.5"
"01e7f9814849bf1e4a5ce63fb0d4b61a","Shackletoniella","clr_1","clr_0.5",0.00200610537573047,0.0019906291920455,1.54761836849734e-05,1.54761836849734e-05,"pc = 1 − pc = 0.5"
"47c12b61c90c5033a1bb474f6c7ae154","LD29","clr_1","clr_0.5",0.00200121627129233,0.00187566649619212,0.00012554977510021,0.00012554977510021,"pc = 1 − pc = 0.5"
"67af8ea66a8349d04cd4bda199abe5da","Fimbriiglobus","clr_1","clr_0.5",0.00199798065074277,0.00215602483291624,-0.000158044182173479,0.000158044182173479,"pc = 1 − pc = 0.5"
"ec0f2c0dafb364dfe9e9044a2db5f8fc","IMCC26207","clr_1","clr_0.5",0.00198024496308403,0.00179564858445108,0.000184596378632954,0.000184596378632954,"pc = 1 − pc = 0.5"
"6fc0afa4ca20c38dd455d90b8d8099ab","Hirschia","clr_1","clr_0.5",0.00195895843645226,0.00179233113087633,0.000166627305575926,0.000166627305575926,"pc = 1 − pc = 0.5"
"27ec05c431a025fda07b2a8e37f2bf93","Fimbriiglobus","clr_1","clr_0.5",0.00191509896744031,0.0023568518743288,-0.000441752906888493,0.000441752906888493,"pc = 1 − pc = 0.5"
"d4531e60bc6de54c5eb09e54d2264553","Pirellula","clr_1","clr_0.5",0.00188025167780313,0.0016684592317949,0.000211792446008224,0.000211792446008224,"pc = 1 − pc = 0.5"
"7303c7950d30d98f6084c7e1e4c54ea1","Nodosilinea","clr_1","clr_0.5",0.00183950524843622,0.00150772575499103,0.000331779493445194,0.000331779493445194,"pc = 1 − pc = 0.5"
"79cb0502666fb336451226c33970ec67","Chitinophagaceae Family","clr_1","clr_0.5",0.0018155208994118,0.00172727570536168,8.82451940501226e-05,8.82451940501226e-05,"pc = 1 − pc = 0.5"
"7402c6fd98e177d4694261a9dd23eac6","Candidatus Berkiella","clr_1","clr_0.5",0.00181529974538216,0.00186347056690979,-4.81708215276289e-05,4.81708215276289e-05,"pc = 1 − pc = 0.5"
