"asv","Genus","transform_a","transform_b","importance_a","importance_b","diff","abs_diff","comparison","pair","rank"
"2d9a9d6012e671d8135cb2df734d9edd","Gemmatimonas","clr_1","clr_0.5",0.0239873142825035,0.0167703449457672,0.00721696933673623,0.00721696933673623,"pc = 1 − pc = 0.5","clr_1_clr_0.5",1
"dc9aa892ff2214c4219de36f009f5192","Candidatus Nitrosoarchaeum","clr_1","clr_0.5",0.0169730970611262,0.0165226479228222,0.00045044913830395,0.00045044913830395,"pc = 1 − pc = 0.5","clr_1_clr_0.5",2
"b7a6de9f78e6c96910566ca3f2778318","Armatimonadaceae Family","clr_1","clr_0.5",0.015582204693822,0.0121365208228247,0.00344568387099726,0.00344568387099726,"pc = 1 − pc = 0.5","clr_1_clr_0.5",3
"ce7deedd0f541b5286425938fcd6e413","Oligoflexaceae Family","clr_1","clr_0.5",0.0134289404777892,0.0136492214014474,-0.000220280923658157,0.000220280923658157,"pc = 1 − pc = 0.5","clr_1_clr_0.5",4
"9e36c8c025b5170a2b5af14dc13bf3bf","Eremiobacteria Class","clr_1","clr_0.5",0.0128624907773983,0.0123119807856626,0.000550509991735669,0.000550509991735669,"pc = 1 − pc = 0.5","clr_1_clr_0.5",5
"6c561c59c84d61ce5f4036074028dbca","Bryobacter","clr_1","clr_0.5",0.0128061112064956,0.0138345022462243,-0.00102839103972875,0.00102839103972875,"pc = 1 − pc = 0.5","clr_1_clr_0.5",6
"afc8be1bf12a273aee66a9cf23603a63","Acetobacteraceae Family","clr_1","clr_0.5",0.0127733956681884,0.0118250877316168,0.000948307936571642,0.000948307936571642,"pc = 1 − pc = 0.5","clr_1_clr_0.5",7
"c4bfdac27a83e2361cd70c4f37cbeb51","Paludibaculum","clr_1","clr_0.5",0.0117821481310501,0.0136512529703175,-0.00186910483926745,0.00186910483926745,"pc = 1 − pc = 0.5","clr_1_clr_0.5",8
"61c901297973162caaee28a638a3d9d9","Solirubrobacteraceae Family","clr_1","clr_0.5",0.0116127584694469,0.00588492802418917,0.00572783044525771,0.00572783044525771,"pc = 1 − pc = 0.5","clr_1_clr_0.5",9
"29d0afa3094fe186f16549507e5d86f3","Haliscomenobacter","clr_1","clr_0.5",0.0114237905464397,0.0120678102610307,-0.00064401971459092,0.00064401971459092,"pc = 1 − pc = 0.5","clr_1_clr_0.5",10
